publicationDate,value,magnitud,estado,estacion,periodo
2024-11-27T00:00:00Z,69.39,http://es.dbpedia.org/resource/%C3%93xidos_de_nitr%C3%B3geno,Tiempo real,El Picarral,Horario
2024-11-27T00:00:00Z,7.694,http://es.dbpedia.org/resource/Ozono,Tiempo real,El Picarral,Horario
2024-11-27T00:00:00Z,3.8,http://es.dbpedia.org/resource/Sulfuro_de_hidr%C3%B3geno,Tiempo real,El Picarral,Horario
2024-11-27T00:00:00Z,0.2,http://es.dbpedia.org/resource/Mon%C3%B3xido_de_carbono,Tiempo real,El Picarral,Horario
2024-11-27T00:00:00Z,22.96,http://es.dbpedia.org/resource/Di%C3%B3xido_de_nitr%C3%B3geno,Tiempo real,El Picarral,Horario
2024-11-27T00:00:00Z,13.01,http://es.dbpedia.org/resource/PM-2.5,Tiempo real,El Picarral,Horario
2024-11-27T00:00:00Z,4.12,http://es.dbpedia.org/resource/Sulfuro_de_hidr%C3%B3geno,Tiempo real,El Picarral,Horario
2024-11-27T00:00:00Z,23.9,http://es.dbpedia.org/resource/Di%C3%B3xido_de_nitr%C3%B3geno,Tiempo real,El Picarral,Horario
2024-11-27T00:00:00Z,65.93,http://es.dbpedia.org/resource/%C3%93xidos_de_nitr%C3%B3geno,Tiempo real,El Picarral,Horario
2024-11-27T00:00:00Z,0.19,http://es.dbpedia.org/resource/Mon%C3%B3xido_de_carbono,Tiempo real,El Picarral,Horario
2024-11-27T00:00:00Z,7.694,http://es.dbpedia.org/resource/Ozono,Tiempo real,El Picarral,Horario
2024-11-27T00:00:00Z,12.77,http://es.dbpedia.org/resource/PM-2.5,Tiempo real,El Picarral,Horario
2024-11-27T00:00:00Z,18.26,http://es.dbpedia.org/resource/Di%C3%B3xido_de_nitr%C3%B3geno,Tiempo real,Roger de Flor,Horario
2024-11-27T00:00:00Z,0.34,http://es.dbpedia.org/resource/Benceno,Tiempo real,Roger de Flor,Horario
2024-11-27T00:00:00Z,61.03,http://es.dbpedia.org/resource/%C3%93xidos_de_nitr%C3%B3geno,Tiempo real,Roger de Flor,Horario
2024-11-27T00:00:00Z,5.248,http://es.dbpedia.org/resource/Ozono,Tiempo real,Roger de Flor,Horario
2024-11-27T00:00:00Z,3.7,http://es.dbpedia.org/resource/Di%C3%B3xido_de_azufre,Tiempo real,Roger de Flor,Horario
2024-11-27T00:00:00Z,0.17,http://es.dbpedia.org/resource/Mon%C3%B3xido_de_carbono,Tiempo real,Roger de Flor,Horario
